Ośrodek Pomocy Społecznej;(32)4514444;;
Ośrodek Pomocy Społecznej;(61)4422587;;
Ośrodek Pomocy Społecznej;(61)4426950;;
Ośrodek Pomocy Społecznej;(61)8116209;;
Ośrodek Pomocy Społecznej;(61)8125734;;
Ośrodek Pomocy Społecznej w Grodkowie;(77)4153345;;
Ośrodek Pomocy Społecznej w Grodkowie;(77)4154644;;
Pomorski Urząd Wojewódzki w Gdańsku;(58)3077695Obsługaklienta;;
Powiatowe Centrum Pomocy Rodzinie;(77)4482600;;
Powiatowe Centrum Pomocy Rodzinie;(77)4482610;;
Powiatowy Zakład Katastralny we Wrocławiu;(71)3724008;;
Powiatowy Zakład Katastralny we Wrocławiu;(71)3724347;;
Powiatowy Zarząd Dróg w Żywcu;(33)8620572;;
Prokuratura Okręgowa we Wrocławiu;(71)371811418;;
Prokuratura Okręgowa we Wrocławiu;(71)3718102;;
Urząd Dzielnicy Bemowo m.st. Warszawy;(22)5337500;;
Urząd Dzielnicy Bemowo m.st. Warszawy;(22)5337550;;
Urząd Skarbowy w Środzie Śląskiej;(71)3172545;;
Urząd Skarbowy w Środzie Śląskiej;(71)3172216;;
Wyższy Urząd Górniczy;(32)7361700;;
Wyższy Urząd Górniczy;(32)7361755;;
Zachodniopomorska Okręgowa Izba Aptekarska;(91)4843145;;
Zachodniopomorska Okręgowa Izba Aptekarska;(91)8299818;;
Zamek Cieszyn;508200245;;
Zamek Cieszyn;(33)8510821w.10;;
Zespół Ekonomiki Oświaty w Krakowie;(12)6178888;;
Zespół Ekonomiki Oświaty w Krakowie;(12)4104390;;
Powiatowy Inspektorat Nadzoru Budowlanego;(74)8460675;;
Powiatowy Inspektorat Nadzoru Budowlanego;(74)8460685;;
Pracownia Pod Szafranem;603926702;;
Pracownia Pod Szafranem;667412166;;
Rada Izby Komorniczej w Krakowie;(12)4135858;;
Rada Izby Komorniczej w Krakowie;(12)4130020;;
Salvis;669267490;;
Salvis;693252142;;
Wojewódzki Inspektorat Ochrony Środowiska;(61)8270500;;
Wojewódzki Inspektorat Ochrony Środowiska;(61)8270522;;
ZDiUM Zarząd Dróg i Utrzymania Miasta we Wrocławiu;(71)3760700;;
ZDiUM Zarząd Dróg i Utrzymania Miasta we Wrocławiu;(71)3760714;;
Agencja Mienia Wojskowego;(22)3149700;;
Agencja Mienia Wojskowego;(22)3149900;;
Agencja Oceny Technologii Medycznych i Taryfikacji;(22)5667200;;
Agencja Oceny Technologii Medycznych i Taryfikacji;(22)5667202;;
Agencja Restrukturyzacji i Modernizacji Rolnictwa;0800380084;;
Agencja Restrukturyzacji i Modernizacji Rolnictwa;(22)3185330;;
Biuro Poselskie Posła na Sejm RP Marka Plury;(32)2036060;;
Biuro Poselskie Posła na Sejm RP Marka Plury;501593432;;
Główny Urząd Geodezji i Kartografii;(22)6618017;;
Główny Urząd Geodezji i Kartografii;(22)6291867;;
Gminny Ośrodek Kultury Śliwice;(52)3340071;;
Gminny Ośrodek Kultury Śliwice;(18)3533755;;
Gminny Ośrodek Pomocy Społecznej;(34)3153049;;
Gminny Ośrodek Pomocy Społecznej;(34)3156166;;
IZBA CELNA w Szczecinie;(91)4805500;;
IZBA CELNA w Szczecinie;(91)4805501;;
Miejski Ośrodek Pomocy Społecznej w Cieszynie;(33)4794900;;
Miejski Ośrodek Pomocy Społecznej w Cieszynie;533307797;;
Miejski Ośrodek Pomocy Społecznej w Kaliszu;(62)7574510;;
Miejski Ośrodek Pomocy Społecznej w Kaliszu;(62)7576366;;
Miejski Ośrodek Pomocy Społecznej w Żorach;(32)4342412;;
Miejski Ośrodek Pomocy Społecznej w Żorach;(32)4343713;;
Miejskie Centrum Profilaktyki w Świdniku;(81)4687796;;
Miejskie Centrum Profilaktyki w Świdniku;(81)7517796;;
Ministerstwo Rozwoju;(22)2737000;;
Ministerstwo Sportu i Turystyki;(22)2443142;;
Ministerstwo Sportu i Turystyki;(22)2443255;;
Ochotnicza Straż Pożarna w Jarogniewicach;725173829;;
Ochotnicza Straż Pożarna w Jarogniewicach;669124681;;
Okręgowy Inspektor Rybołówstwa Morskiego w Szczecinie;(91)4322550;;
Okręgowy Inspektor Rybołówstwa Morskiego w Szczecinie;(91)4883903;;
Ośrodek Pomocy Społecznej;(32)4511671;;
Ośrodek Pomocy Społecznej;(32)4514444;;
Ośrodek Pomocy Społecznej;(61)4422587;;
Ośrodek Pomocy Społecznej;(61)4426950;;
Ośrodek Pomocy Społecznej;(61)8116209;;
Ośrodek Pomocy Społecznej;(61)8125734;;
Ośrodek Pomocy Społecznej;(32)6729571;;
Ośrodek Pomocy Społecznej;(32)6729176;;
Ośrodek Pomocy Społecznej w Grodkowie;(77)4153345;;
Ośrodek Pomocy Społecznej w Grodkowie;(77)4154644;;
Pomorski Urząd Wojewódzki w Gdańsku;(58)3077695Obsługaklienta;;
Powiatowe Centrum Pomocy Rodzinie;(77)4482600;;
Powiatowe Centrum Pomocy Rodzinie;(77)4482610;;
Powiatowy Zakład Katastralny we Wrocławiu;(71)3724008;;
Powiatowy Zakład Katastralny we Wrocławiu;(71)3724347;;
Powiatowy Zarząd Dróg w Żywcu;(33)8620572;;
Prokuratura Okręgowa we Wrocławiu;(71)371811418;;
Prokuratura Okręgowa we Wrocławiu;(71)3718102;;
Urząd Dzielnicy Bemowo m.st. Warszawy;(22)5337500;;
Urząd Dzielnicy Bemowo m.st. Warszawy;(22)5337550;;
Urząd Skarbowy w Środzie Śląskiej;(71)3172545;;
Urząd Skarbowy w Środzie Śląskiej;(71)3172216;;
Wyższy Urząd Górniczy;(32)7361700;;
Wyższy Urząd Górniczy;(32)7361755;;
Zachodniopomorska Okręgowa Izba Aptekarska;(91)4843145;;
Zachodniopomorska Okręgowa Izba Aptekarska;(91)8299818;;
Zamek Cieszyn;508200245;;
Zamek Cieszyn;(33)8510821w.10;;
Zespół Ekonomiki Oświaty w Krakowie;(12)6178888;;
Zespół Ekonomiki Oświaty w Krakowie;(12)4104390;;
Powiatowy Inspektorat Nadzoru Budowlanego;(74)8460675;;
Powiatowy Inspektorat Nadzoru Budowlanego;(74)8460685;;
Pracownia Pod Szafranem;603926702;;
Pracownia Pod Szafranem;667412166;;
Rada Izby Komorniczej w Krakowie;(12)4135858;;
Rada Izby Komorniczej w Krakowie;(12)4130020;;
Salvis;669267490;;
Salvis;693252142;;
Wojewódzki Inspektorat Ochrony Środowiska;(61)8270500;;
Wojewódzki Inspektorat Ochrony Środowiska;(61)8270522;;
ZDiUM Zarząd Dróg i Utrzymania Miasta we Wrocławiu;(71)3760700;;
ZDiUM Zarząd Dróg i Utrzymania Miasta we Wrocławiu;(71)3760714;;
